,CountryName,CityName,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Cappuccino (regular),Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Level of crime,Skill and competency of medical staff,Air Pollution,Drinking Water Pollution and Inaccessibility,Dissatisfaction with Green and Parks in the City,Quality of Life Index:,Traffic Index:,id
67,Brazil,Joao Pessoa,3.26,22.98,6.13,1.22,2.11,0.84,47.68,0.96,1.23,4.83,14937.09,84.01,15.7,127.67,5093.93,282.46,186.71,427.69,339.91,142.33,97.85,454.82,9.3,78.57,64.29,13.89,33.33,36.11,126.15,156.21,BrazilJoao Pessoa
68,Brazil,Joinville,5.27,26.81,5.75,1.8,2.3,0.96,45.96,1.15,1.54,4.8,22980.14,79.18,23.2,242.57,5349.27,258.53,186.71,440.45,360.02,97.1,85.44,313.1,10.11,50.53,78.57,25.0,28.75,78.75,127.01,161.16,BrazilJoinville
69,Brazil,Natal,3.35,18.19,5.75,1.46,2.28,0.78,47.88,0.98,0.85,4.8,15798.85,76.84,16.04,223.42,4596.03,181.93,114.9,497.9,191.5,111.19,57.82,502.31,7.9,92.58,55.0,18.48,38.04,54.35,125.14,108.26,BrazilNatal
70,Brazil,Porto Alegre,4.79,25.85,5.75,1.74,1.96,0.92,59.12,1.34,1.85,4.9,17426.61,64.68,20.79,312.79,5574.98,291.51,235.89,534.08,493.12,117.42,102.3,395.22,8.17,85.94,76.36,45.34,36.36,43.06,112.52,123.48,BrazilPorto Alegre
71,Brazil,Recife,4.79,22.98,5.75,1.46,2.3,0.8,38.3,1.06,0.85,4.81,18479.86,77.49,19.78,319.17,6415.29,281.78,157.99,446.84,296.83,164.57,133.43,444.28,8.74,93.07,75.0,50.0,61.36,66.41,87.01,202.45,BrazilRecife
72,Brazil,Rio de Janeiro,6.7,29.68,6.7,1.59,1.92,0.96,48.07,1.15,1.26,5.27,17235.11,93.0,20.4,480.42,6447.21,385.99,249.61,789.12,555.35,196.51,120.15,361.19,9.68,90.5,48.71,53.45,54.14,46.68,70.17,229.53,BrazilRio de Janeiro
73,Brazil,Sao Jose dos Campos,4.79,28.73,6.7,1.39,2.3,0.96,38.3,1.53,0.89,4.61,24895.15,57.47,21.21,291.08,5617.37,308.0,198.95,483.54,422.67,116.98,71.52,452.42,8.62,55.0,70.31,31.0,19.12,22.06,154.89,73.29,BrazilSao Jose dos Campos
74,Brazil,Sao Paulo,7.66,38.3,6.7,1.54,2.3,0.84,45.96,1.05,1.23,5.0,20107.62,67.79,22.02,394.27,9749.8,579.64,343.96,1007.14,668.02,226.56,147.0,475.43,9.15,83.76,66.45,76.18,45.18,57.87,79.31,232.08,BrazilSao Paulo
75,Brazil,Vitoria,5.07,38.3,6.7,1.92,2.11,0.79,32.98,0.85,0.78,4.82,19437.37,61.3,19.88,364.62,4624.75,243.21,191.5,440.45,386.83,117.81,100.13,660.68,10.03,48.21,65.0,65.38,31.82,36.36,130.72,170.2,BrazilVitoria
76,Brunei,Bandar Seri Begawan,2.79,20.98,4.88,3.33,7.69,1.05,20.98,3.15,4.5,1.39,20977.66,52.7,88.27,202.35,11265.37,655.15,351.96,1174.75,1072.19,126.68,80.12,1686.46,4.37,21.88,72.37,19.05,26.19,28.57,179.78,131.84,BruneiBandar Seri Begawan
77,Bulgaria,Burgas,7.26,30.54,5.01,1.69,2.93,0.75,22.53,0.65,0.8,5.29,18125.38,95.19,10.26,200.28,3304.63,293.27,223.17,452.22,350.49,117.84,65.12,610.66,3.71,37.47,45.83,50.76,35.19,14.29,150.9,68.31,BulgariaBurgas
78,Bulgaria,Plovdiv,7.51,30.04,5.63,1.49,3.0,0.5,25.04,0.75,0.8,5.54,20571.8,75.96,11.48,259.74,3642.6,284.62,204.99,469.94,346.64,114.24,77.96,629.14,3.28,28.65,56.94,68.59,31.43,33.57,140.14,77.89,BulgariaPlovdiv
79,Bulgaria,Sofia,10.01,35.05,6.01,1.72,3.0,0.8,25.04,1.05,0.97,6.13,22281.19,132.12,11.91,406.5,6777.68,406.93,307.13,802.19,536.86,220.42,141.12,951.44,3.14,42.3,62.12,76.71,27.66,38.24,126.21,108.74,BulgariaSofia
80,Bulgaria,Varna,6.01,30.04,5.01,1.45,3.0,0.8,20.03,0.95,0.81,5.48,19777.69,108.23,12.15,291.03,3880.43,286.51,222.05,544.51,391.02,144.8,91.38,690.59,3.04,36.99,70.74,57.46,39.62,35.0,137.94,89.72,BulgariaVarna
81,Bulgaria,Veliko Tarnovo,6.01,30.04,5.01,1.46,2.83,0.5,17.52,0.95,0.79,5.46,16454.29,90.6,10.89,250.35,1001.4,175.25,156.89,383.87,325.46,75.7,59.15,588.1,3.04,13.62,50.0,37.5,25.0,6.25,168.76,71.16,BulgariaVeliko Tarnovo
82,Cambodia,Phnom Penh,3.25,23.5,6.5,2.77,1.5,1.0,10.62,1.0,1.61,4.46,48000.0,123.0,33.22,261.6,9062.5,527.81,321.67,1479.0,793.33,217.34,151.04,314.88,10.14,59.05,40.18,73.94,48.64,66.83,63.23,116.77,CambodiaPhnom Penh
83,Cameroon,Douala,3.73,29.86,2.99,0.82,2.02,0.34,3.73,0.37,0.6,3.63,19779.0,73.57,41.98,292.95,1556.73,201.52,93.3,575.64,257.5,129.43,41.6,168.35,9.22,80.64,28.85,79.17,75.0,79.17,37.01,197.26,CameroonDouala
84,Canada,Abbotsford,13.09,58.18,7.27,3.45,15.64,1.64,37.82,2.47,2.2,5.54,18909.98,134.28,52.55,545.48,7273.07,1400.07,1054.6,2400.11,1709.17,405.41,465.66,2594.06,6.83,62.13,57.89,34.48,18.0,29.0,152.33,167.0,CanadaAbbotsford
85,Canada,Brampton,10.91,65.46,7.27,2.65,11.78,2.91,87.28,3.64,2.34,5.49,18909.98,208.53,56.31,868.73,12364.22,1217.33,1029.88,1806.53,1633.29,575.04,441.7,3424.4,4.5,63.07,71.74,29.17,19.5,25.0,158.58,199.95,CanadaBrampton
86,Canada,Burlington,16.36,65.46,7.83,3.21,12.0,2.55,50.18,2.18,2.81,5.59,17637.2,95.45,58.09,1151.33,16364.41,1466.74,1294.61,2211.01,2072.83,721.24,653.36,3782.0,6.27,22.26,76.56,8.75,9.38,12.5,188.11,182.74,CanadaBurlington
87,Canada,Burnaby,12.36,58.18,8.73,3.09,10.91,2.27,97.46,2.55,2.26,6.23,21091.91,97.7,61.37,905.5,8509.49,1527.34,1425.52,3241.12,2157.68,618.21,618.21,3395.98,7.4,36.66,80.56,26.32,16.67,28.33,185.75,103.99,CanadaBurnaby
88,Canada,Calgary,16.0,58.18,8.72,3.52,11.64,2.62,81.46,2.91,2.25,4.73,20364.6,169.99,62.7,794.18,11657.69,1032.27,857.16,1894.14,1433.49,299.15,227.93,3792.62,4.36,38.59,78.46,19.58,11.51,19.48,185.69,129.01,CanadaCalgary
89,Canada,Charlottetown,18.18,63.64,7.27,2.84,13.45,1.45,43.64,5.09,3.51,5.16,30910.55,147.04,74.29,672.76,21819.21,908.22,775.1,1327.34,1204.6,218.19,142.55,1515.22,4.14,28.82,35.71,2.5,12.5,12.5,161.6,88.08,CanadaCharlottetown
90,Canada,Edmonton,18.18,63.64,8.73,3.67,12.0,2.55,72.73,2.69,1.93,4.66,21819.21,185.35,57.01,742.66,7527.63,887.56,726.05,1508.78,1157.87,200.6,167.89,3247.67,4.4,52.17,83.84,29.11,15.04,15.34,173.74,122.97,CanadaEdmonton
91,Canada,Halifax,14.55,69.09,8.73,3.54,13.82,2.0,60.0,2.73,2.05,5.37,21819.21,148.53,75.36,658.62,12546.05,1187.16,951.56,1866.04,1455.52,343.21,191.44,2980.61,4.63,48.21,69.21,15.82,15.91,21.59,175.73,118.87,CanadaHalifax
92,United Kingdom,Halifax,12.27,55.77,6.69,3.12,11.99,2.45,89.24,2.29,1.67,6.61,20635.78,217.51,36.31,845.88,11154.48,446.18,501.95,557.72,780.81,145.08,113.99,3205.8,3.0,48.21,69.21,15.82,15.91,21.59,175.73,118.87,United KingdomHalifax
93,Canada,Kelowna,10.91,60.0,8.73,3.55,12.36,1.82,50.91,2.64,2.63,5.61,21561.02,104.91,68.31,778.22,17673.56,1276.73,1059.37,2143.42,1770.45,353.33,265.31,3281.31,5.42,68.25,79.03,20.45,23.12,15.54,171.33,113.35,CanadaKelowna
94,Jamaica,Kingston,6.01,48.7,6.49,3.31,9.09,0.88,32.47,1.95,4.7,5.02,38958.75,133.56,40.64,253.23,1531.3,634.56,333.51,1291.41,746.71,168.74,174.88,584.38,8.07,38.79,73.81,15.62,10.42,9.09,179.37,121.87,JamaicaKingston
95,Canada,"Langley, BC",13.09,58.18,9.82,3.45,12.36,2.64,80.09,2.44,2.2,5.54,21781.03,122.53,69.0,581.85,4848.71,1109.14,963.68,2248.47,2969.35,700.03,538.2,3745.63,4.51,60.04,60.71,25.0,33.33,66.67,160.22,113.82,"CanadaLangley, BC"
96,Canada,"Lethbridge, AB",16.36,56.37,8.36,3.23,11.82,2.27,56.0,2.65,2.55,4.84,17451.73,199.07,69.55,854.59,14618.87,776.4,686.4,1259.91,1117.85,196.37,181.83,2380.23,4.85,71.81,63.89,31.25,16.67,25.0,146.92,105.96,"CanadaLethbridge, AB"
97,Canada,London,16.36,74.91,9.09,3.37,10.47,2.18,69.09,2.82,2.61,5.15,21819.21,127.3,58.91,945.5,16819.9,1182.47,970.1,2309.43,1490.44,647.44,315.88,3278.65,4.53,59.05,68.29,30.17,20.0,17.0,162.05,120.44,CanadaLondon
98,United Kingdom,London,17.29,74.73,7.81,3.65,14.5,3.12,178.47,5.35,3.05,7.45,28053.51,277.36,33.36,1774.13,20988.03,2132.99,1544.95,3704.08,2545.84,1364.14,719.77,3194.22,2.76,59.05,68.29,30.17,20.0,17.0,162.05,120.44,United KingdomLondon
99,Canada,Markham,19.61,87.28,8.73,2.95,10.91,2.84,111.28,3.09,2.58,5.33,18182.68,119.99,42.71,690.94,16982.62,1472.8,1290.97,2375.87,2181.92,1018.22,872.76,3484.23,6.0,24.33,68.75,10.58,8.33,15.74,178.31,160.89,CanadaMarkham
100,Canada,Mississauga,10.91,58.18,8.73,3.41,10.91,2.55,104.73,3.0,2.91,5.31,19371.1,112.46,53.25,1149.15,26183.06,1527.34,1342.22,2318.29,2021.31,657.75,511.87,3203.36,4.72,44.79,68.09,18.22,12.5,19.23,167.13,166.37,CanadaMississauga
101,Canada,Montreal,14.55,65.46,8.87,3.43,10.91,2.55,68.37,2.91,2.05,5.59,21819.21,74.72,45.14,633.24,8436.76,1011.66,772.14,1793.93,1305.77,570.47,313.02,2746.6,5.17,28.67,68.07,29.97,17.26,18.58,160.71,164.09,CanadaMontreal
102,Canada,"Nanaimo, BC",13.82,69.09,9.45,3.19,12.36,2.0,47.27,2.65,2.82,5.93,21819.21,155.08,75.8,854.59,7273.07,1144.11,1064.95,1936.46,1765.12,437.42,464.61,2666.79,7.45,61.16,72.66,17.71,16.25,17.5,174.53,95.73,"CanadaNanaimo, BC"
103,Canada,"Newmarket, ON",16.36,62.47,8.73,3.09,10.91,3.0,109.1,2.91,2.34,5.23,21819.21,189.43,62.61,1620.68,35099.84,1612.2,1515.22,2278.9,1981.91,337.84,236.49,2375.87,4.69,29.88,63.89,0.0,0.0,25.0,168.97,167.34,"CanadaNewmarket, ON"
104,Canada,Ottawa,18.18,61.82,8.73,3.57,10.91,2.71,89.1,3.0,2.26,5.32,20873.71,118.32,58.24,953.58,14000.66,1242.24,992.56,1980.7,1604.35,431.52,280.01,3243.76,4.93,25.22,76.69,15.81,11.53,17.35,183.26,119.77,CanadaOttawa
105,Canada,Quebec City,14.55,56.37,8.73,3.14,10.18,2.55,64.73,2.55,2.05,5.35,18182.68,69.47,45.34,650.16,6215.54,660.64,513.66,1123.69,868.22,532.57,143.92,3542.37,4.5,8.55,81.38,17.74,14.66,23.28,207.07,105.23,CanadaQuebec City
106,Canada,Saskatoon,14.55,50.91,8.73,3.22,11.27,2.18,60.37,2.91,2.28,5.04,20364.6,205.59,56.0,557.0,7745.82,862.38,667.49,1324.74,1184.9,218.19,290.92,3224.39,4.67,59.05,65.62,25.68,13.28,20.97,169.72,75.22,CanadaSaskatoon
107,Canada,"St. John's, Newfoundland and Labrador",14.55,54.55,8.36,2.78,11.27,1.82,56.73,3.27,2.93,6.33,21819.21,212.16,77.09,412.14,13818.84,676.85,584.88,1192.78,1018.23,347.98,217.57,2636.49,8.75,50.66,62.5,8.33,23.21,26.92,172.7,94.75,"CanadaSt. John's, Newfoundland and Labrador"
108,Canada,Surrey,13.09,58.18,7.64,3.81,13.09,2.38,87.28,2.47,2.3,5.79,18182.68,164.94,64.65,890.95,2545.57,1232.38,1001.7,2305.56,1709.17,824.27,509.11,3729.37,4.63,71.43,71.88,28.26,21.05,27.78,169.01,159.43,CanadaSurrey
109,Canada,Toronto,18.18,73.55,9.45,3.5,12.76,2.36,113.46,3.25,2.05,5.41,20364.6,123.05,55.37,1158.21,19305.76,1576.59,1352.29,2616.73,2184.03,878.02,667.86,3037.03,5.19,45.56,75.58,33.82,18.75,27.71,149.88,202.45,CanadaToronto
110,Canada,Vancouver,17.82,80.0,8.73,3.66,13.82,2.22,94.55,2.73,2.26,5.9,21819.21,82.77,60.96,998.32,18785.35,1713.82,1446.0,3286.28,2281.41,921.5,708.45,3601.47,3.98,40.15,75.93,19.14,13.53,13.49,177.88,149.0,CanadaVancouver
111,Canada,Vaughan,14.55,72.73,8.73,3.22,10.91,2.82,113.46,2.8,2.63,5.23,17819.02,158.93,55.71,1090.96,17455.37,1672.81,1418.25,2909.23,2181.92,472.98,337.84,3272.88,4.88,40.86,66.67,19.12,15.0,39.29,148.43,292.06,CanadaVaughan
112,Canada,Victoria,18.18,65.46,8.73,3.62,11.91,1.82,61.82,2.67,2.34,5.89,23273.83,94.82,70.26,901.86,12713.33,1438.14,1166.54,2453.26,2010.7,698.31,501.29,3455.48,4.36,42.3,71.5,7.1,7.57,10.2,191.87,121.13,CanadaVictoria
113,Seychelles,Victoria,14.88,54.72,5.95,4.53,10.33,0.63,21.43,4.7,2.87,4.52,22414.17,62.74,109.89,326.4,3887.89,872.4,580.45,1715.59,1130.51,101.39,114.77,555.15,16.0,42.3,71.5,7.1,7.57,10.2,191.87,121.13,SeychellesVictoria
114,Canada,Windsor,14.55,57.14,8.36,3.42,10.28,2.31,94.87,2.8,2.9,4.92,20000.95,154.14,55.22,375.78,2688.13,957.62,975.16,1568.26,1516.95,424.03,181.83,2930.44,6.47,47.19,48.08,52.42,25.93,35.19,159.16,99.16,CanadaWindsor
115,Canada,Winnipeg,14.55,54.55,8.0,3.4,13.09,2.25,74.91,2.73,1.87,5.21,19637.29,142.76,57.75,503.3,12167.36,769.14,805.44,1296.24,1242.48,277.03,241.56,2117.12,4.38,71.68,70.14,28.37,25.62,30.63,135.75,127.97,CanadaWinnipeg
116,Chile,Concepcion,5.3,31.78,4.24,1.95,4.4,0.56,26.48,0.5,2.56,4.36,12387.72,134.45,34.07,181.39,3972.12,287.32,222.44,500.87,370.73,154.99,119.32,460.77,6.26,53.7,58.33,44.23,19.44,47.22,129.25,104.87,ChileConcepcion
117,Chile,Santiago,8.47,42.37,6.36,2.41,4.71,0.85,42.37,0.37,1.7,4.5,13928.9,123.53,21.46,368.81,5888.09,424.1,384.21,775.06,756.42,201.52,201.63,600.48,6.13,69.21,76.06,82.86,27.71,50.48,104.06,136.75,ChileSantiago
118,Panama,Santiago,4.5,33.5,5.25,2.94,5.78,0.25,30.43,1.0,1.29,3.22,17000.0,100.0,35.0,358.89,12485.71,300.0,250.0,500.0,400.0,111.48,83.61,700.0,5.78,69.21,76.06,82.86,27.71,50.48,104.06,136.75,PanamaSantiago
119,Chile,Vina del Mar,10.97,42.37,5.3,2.16,3.87,0.53,44.49,0.74,1.7,4.27,10851.83,73.12,26.66,285.99,4581.18,364.11,264.81,593.17,459.0,164.24,135.19,557.16,5.4,43.24,75.0,37.5,16.67,29.17,152.85,48.82,ChileVina del Mar
120,China,Beijing,4.22,35.13,5.62,4.54,4.22,0.7,42.16,1.97,0.68,4.47,25295.11,55.28,20.73,951.76,29437.0,1198.44,671.02,2773.09,1437.02,1643.33,885.87,1396.65,5.16,24.25,70.07,76.37,64.41,54.12,78.45,182.4,ChinaBeijing
121,China,Chengdu,2.81,24.45,4.92,3.51,2.81,0.35,24.44,1.26,0.45,4.45,20910.62,40.94,12.03,351.32,17566.05,428.61,252.95,885.33,484.82,352.57,189.3,780.98,5.37,16.72,71.43,78.47,47.66,40.62,126.51,129.12,ChinaChengdu
122,China,Chongqing,2.81,16.86,4.22,3.85,3.51,0.42,56.21,1.41,0.51,4.43,20910.62,37.95,9.84,351.32,21079.26,269.81,165.12,439.22,305.65,253.46,169.72,737.77,5.33,18.35,40.0,71.15,57.95,46.59,119.08,172.84,ChinaChongqing
123,China,Guangzhou,4.08,26.7,4.5,3.6,3.51,0.42,28.11,1.69,0.59,4.46,21079.26,53.99,16.63,548.06,24241.15,539.12,309.16,1280.21,667.51,1196.03,501.84,1190.25,5.14,28.85,73.48,67.73,53.43,37.25,108.53,134.53,ChinaGuangzhou
124,China,Hangzhou,4.22,38.65,5.62,3.7,2.81,0.42,16.86,1.83,0.57,4.43,21079.26,36.43,8.15,422.17,18542.72,501.22,293.55,1022.73,767.64,750.47,428.22,1131.25,5.33,9.13,56.82,72.97,45.97,17.74,128.39,139.13,ChinaHangzhou
125,China,Nanjing,3.02,19.67,4.92,3.11,1.41,0.56,15.27,1.56,0.68,4.41,21079.26,55.83,6.62,134.39,21150.66,501.53,295.82,1162.04,628.01,663.21,332.4,1144.5,5.24,7.72,75.0,73.08,55.68,28.41,136.64,128.56,ChinaNanjing
126,China,"Qingdao, Shandong",2.95,19.67,4.64,3.04,2.18,0.42,23.19,1.41,0.45,4.34,16863.41,33.73,11.1,219.22,10153.18,302.38,167.83,690.93,318.51,489.58,230.65,964.96,5.0,4.55,81.25,46.02,39.1,33.97,162.56,82.43,"ChinaQingdao, Shandong"
127,China,Shanghai,5.62,40.75,5.62,3.94,3.51,0.56,28.11,2.11,0.68,4.46,18268.69,63.64,16.57,1285.83,26016.08,1108.8,576.17,2962.58,1510.68,1599.85,837.04,1394.45,5.03,26.99,63.67,72.5,59.11,47.22,87.32,183.72,ChinaShanghai
128,China,Shenyang,2.81,21.08,4.67,2.95,3.51,0.28,11.24,1.26,0.45,4.43,20376.62,59.06,15.46,439.39,23187.18,281.06,154.58,702.64,599.59,231.73,126.2,826.1,5.56,15.02,78.12,93.75,61.67,60.94,120.6,97.45,ChinaShenyang
129,China,Shenzhen,4.22,28.11,5.34,4.22,3.51,0.56,35.13,1.41,0.59,4.41,22484.54,68.02,18.12,597.25,25074.95,749.48,465.02,1744.71,921.1,1635.17,768.29,1526.47,5.05,26.5,53.85,53.96,54.49,20.78,113.15,117.41,ChinaShenzhen
130,China,Suzhou,4.92,35.13,5.76,4.43,4.92,0.42,42.16,1.83,0.45,4.41,23187.18,55.93,11.77,1465.51,32936.34,664.0,432.52,1870.78,986.82,859.48,463.47,913.43,4.72,1.54,60.0,78.03,55.17,25.89,108.72,68.44,ChinaSuzhou
131,China,Tianjin,4.22,28.11,5.62,3.01,2.88,0.42,15.58,1.62,0.5,4.47,18971.33,75.65,10.93,558.6,9239.74,386.45,271.69,1071.53,562.11,512.44,326.39,865.41,5.5,31.17,75.0,83.65,61.36,59.52,97.39,200.45,ChinaTianjin
132,China,Xi'an,2.81,16.86,4.92,3.21,2.81,0.28,16.86,1.19,0.57,4.39,17566.05,47.87,13.35,421.59,16863.41,281.06,182.69,655.8,416.9,219.33,156.66,988.38,4.91,20.69,66.67,94.05,64.71,64.71,131.22,123.69,ChinaXi'an
133,China,Xiamen,2.81,15.46,4.22,3.72,2.81,0.28,8.43,1.26,0.51,4.43,18268.69,41.76,8.68,421.59,14052.84,454.38,267.0,1452.13,576.17,913.88,424.3,879.85,5.18,16.79,66.67,36.84,30.0,7.14,120.56,244.67,ChinaXiamen
134,China,Zhuhai,2.81,28.11,5.62,3.43,3.51,0.14,8.43,1.41,0.57,4.47,16863.41,42.24,16.25,304.48,8431.7,515.27,201.42,1030.54,655.8,518.95,355.76,1686.34,4.91,25.0,43.75,58.33,70.0,20.0,138.95,249.52,ChinaZhuhai
135,Colombia,Barranquilla,3.24,15.13,5.41,1.01,1.54,0.54,21.19,1.36,2.44,1.95,16432.23,78.66,17.42,220.27,4121.98,178.11,192.43,412.04,307.79,51.89,73.99,305.79,11.7,76.11,69.23,46.05,35.0,43.75,104.71,144.0,ColombiaBarranquilla
136,Colombia,Bogota,3.24,19.46,4.64,1.13,1.73,0.57,27.57,1.08,2.44,1.99,12107.96,68.85,20.2,219.95,4741.44,327.05,270.58,629.17,488.5,139.25,113.26,310.03,11.21,78.18,69.57,76.62,23.72,45.36,89.98,228.05,ColombiaBogota
137,Colombia,Bucaramanga,2.59,12.97,3.89,0.93,1.95,0.56,32.43,1.21,2.02,1.96,17297.09,50.38,15.95,93.51,1859.44,177.02,137.84,287.26,227.02,73.65,80.35,241.56,11.67,60.29,75.0,60.0,13.89,38.89,119.82,157.27,ColombiaBucaramanga
138,Colombia,Cali,2.16,17.3,4.86,0.88,1.9,0.52,25.95,1.06,1.91,1.96,17729.51,60.0,20.43,129.73,4072.02,205.4,129.01,313.24,297.79,73.65,77.84,306.3,12.16,81.25,75.0,32.95,18.75,37.5,128.38,140.96,ColombiaCali
139,Colombia,Cartagena,2.59,19.46,4.65,1.46,1.95,0.58,21.62,1.73,2.54,1.96,7999.9,97.15,26.89,108.1,4050.4,477.9,389.09,651.34,540.42,200.86,91.83,336.45,10.16,66.41,41.67,40.0,47.5,82.5,95.06,125.16,ColombiaCartagena
140,Spain,Cartagena,9.79,29.38,6.85,1.41,5.39,1.18,19.58,5.88,3.15,5.75,19583.65,86.66,34.43,165.24,3394.5,440.63,342.71,773.55,611.99,138.88,106.89,1723.36,2.96,66.41,41.67,40.0,47.5,82.5,95.06,125.16,SpainCartagena
141,Colombia,Manizales,2.16,15.13,5.14,1.15,1.51,0.46,19.83,0.86,1.74,1.96,18051.67,60.26,25.69,61.26,1297.28,155.4,205.4,242.47,259.46,74.99,85.7,247.09,10.33,47.0,75.0,34.09,10.71,20.83,147.07,65.28,ColombiaManizales
142,Colombia,Medellin,3.46,18.59,4.97,1.15,1.73,0.55,32.43,1.03,2.4,1.98,17297.09,60.0,23.01,151.62,4379.87,291.89,250.29,500.01,403.76,107.87,97.18,378.74,10.03,66.27,81.82,75.53,14.04,32.78,124.39,158.4,ColombiaMedellin
143,Russia,Samara,9.87,49.36,6.58,2.5,3.29,0.58,32.66,1.65,0.79,3.09,45248.87,104.21,7.93,298.92,8556.15,346.09,252.98,664.1,449.93,183.72,133.45,663.1,12.54,35.0,43.18,48.53,47.06,31.94,103.94,174.14,RussiaSamara
144,Costa Rica,San Jose,9.53,43.66,7.14,2.59,3.89,0.64,31.41,1.05,1.7,4.97,25720.34,64.84,49.94,326.6,8172.38,680.52,416.85,1230.5,815.07,177.75,127.83,813.73,8.17,63.76,72.67,41.45,19.85,41.41,117.01,331.12,Costa RicaSan Jose
145,Croatia,Dubrovnik,9.75,64.32,6.5,2.12,4.42,1.95,45.52,3.25,1.05,5.46,21851.1,209.48,23.34,80.21,8237.52,533.5,364.02,695.04,491.0,377.9,252.44,790.15,3.94,7.89,57.14,12.5,25.0,35.0,158.97,100.7,CroatiaDubrovnik
146,Croatia,Pula,7.48,29.26,5.46,1.37,4.03,1.24,29.92,2.93,1.26,5.36,19639.98,140.18,30.8,112.29,2601.32,360.93,325.34,542.56,481.24,198.81,175.38,819.42,3.42,20.0,50.0,11.36,13.64,30.0,174.79,60.48,CroatiaPula
147,Croatia,Rijeka,9.1,35.77,5.85,1.37,4.42,1.56,39.02,3.25,1.05,5.49,22111.23,130.7,20.16,150.88,5462.78,363.22,305.87,650.85,526.75,210.81,157.27,766.51,3.6,17.72,72.58,28.03,16.38,45.54,167.33,72.34,CroatiaRijeka
148,Croatia,Slavonski Brod,5.2,23.41,5.2,1.37,4.29,1.3,28.61,2.6,1.05,5.49,20160.24,130.7,20.16,149.58,1300.66,195.1,139.82,390.2,253.63,135.1,94.76,765.2,3.6,7.5,62.5,72.73,10.71,25.0,162.5,56.49,CroatiaSlavonski Brod
149,Croatia,Split,8.45,39.02,5.66,1.7,4.42,1.43,37.72,2.6,1.67,5.78,23411.89,110.69,23.63,112.99,5852.97,456.0,340.67,786.63,583.15,338.32,252.56,860.55,2.96,30.36,77.7,25.6,14.47,51.28,159.33,62.94,CroatiaSplit
150,Croatia,Varazdin,7.48,28.61,5.2,1.37,4.36,3.25,25.04,2.93,0.94,5.49,22111.23,130.7,18.21,106.22,4823.2,337.36,250.13,529.57,400.26,182.56,111.94,845.43,3.5,12.5,56.25,12.5,12.5,0.0,172.64,116.07,CroatiaVarazdin
151,Croatia,Zagreb,9.1,42.41,6.5,1.72,4.55,0.52,46.82,1.95,1.26,6.39,23411.89,187.16,23.89,145.52,5472.07,532.88,378.83,885.28,630.63,321.76,216.74,1043.79,3.19,15.48,69.98,31.72,13.44,24.05,159.09,116.77,CroatiaZagreb
152,Cuba,Havana,10.0,40.0,7.0,1.8,3.5,0.1,20.0,1.0,0.8,4.31,80000.0,38.57,165.0,70.0,15166.67,375.0,222.5,1625.0,730.0,45.6,24.92,37.0,5.73,29.54,60.42,51.56,40.62,31.25,63.63,215.04,CubaHavana
153,Cyprus,Larnaca,14.69,51.41,7.34,3.73,5.39,1.96,41.62,5.63,1.58,5.71,23989.97,195.86,35.16,349.71,5134.59,743.43,536.29,1434.88,1015.9,171.32,110.68,1070.57,2.58,25.31,53.33,47.37,38.33,63.33,132.26,265.05,CyprusLarnaca
154,Cyprus,Limassol,14.69,56.3,6.85,3.08,4.9,1.47,39.17,4.9,2.76,6.26,21542.02,198.43,35.86,390.78,6075.83,1195.42,839.96,2207.75,1680.4,283.01,187.5,1418.51,2.81,32.76,51.88,45.14,43.75,61.29,145.91,92.73,CyprusLimassol
155,Cyprus,Nicosia,12.73,48.96,5.97,3.12,4.9,1.71,39.17,3.67,1.97,5.41,18996.14,145.73,29.22,326.69,5959.03,574.45,487.14,1022.02,810.76,191.03,137.46,1333.09,2.56,25.27,50.52,52.78,44.53,66.41,147.49,110.71,CyprusNicosia
156,Cyprus,Paphos,11.75,44.06,7.34,3.03,4.85,1.47,39.17,8.81,1.58,5.49,19094.06,117.75,31.55,239.9,6952.2,636.47,485.51,1097.5,949.05,138.27,120.53,1142.85,2.75,29.11,47.5,32.14,38.89,42.5,174.26,68.35,CyprusPaphos
157,Czech Republic,Brno,7.19,31.98,6.4,2.3,5.1,1.0,21.98,2.4,1.93,6.85,21983.46,217.28,21.12,334.29,8228.69,629.93,515.0,1050.64,835.89,442.01,362.67,1329.31,4.42,17.19,78.02,43.55,25.44,34.21,160.38,83.62,Czech RepublicBrno
